"Comon Name","Image","Origin/Region","Notes"
"Kent","","Australia, Brazil, Ecuador, Guatemala, Honduras, Israel, Italy, Mexico, South Africa, United States","The original Kent tree still stands in Coral Gables, Florida (United States)",
"Kohu Amba","","Sri Lanka","",
"Kothapalli Kobbari","","Pithapuram, Andhra Pradesh of India","Also known as Kobbari Mamidi.",
"Lakshmanbhog","","India","",
"Lancetilla","","Honduras, United States","Lancetilla can bear 5-pound fruit, but the eating quality is considered subpar among mango connoisseurs. The fruit is prone to splitting on the tree.",
"Langra","","India, Pakistan, Bangladesh","",
"Lemon Meringue","","Myanmar","",
"Lippens","","United States","",
"Madame Francis","","Haiti","Large kidney shaped mango that ripens to a golden yellow colour with piquant flesh Commonly exported to the United States in spring; often a feature of NYC fruit stands.  Madame Francis is a high fiber mango.",
"Mahachanok","","Asia, United States","Mahachanok is an oblong commercial mango from Asia, with yellow to orange color exterior when ripe. Described as a fiberless, sweet, and pleasant mango.  The leaves of the tree are dark green and slimmer than many other mango trees.",
"Mallika","","India, Nepal, United States","",
"Malwana (mango)","","Sri Lanka","",
"Manilita","","United States","",
"Manohar","","Punjab, India","Large mango grows in clusters, seedling of Chaunsa. Exceptional complex flavor good sweetness. Very vigorous.",
"Momi K[14]","","Hawaii, United States","Teardrop shaped with a narrow point. Ripens to a reddish orange blush. Flesh has creamy consistency.",
"Muhammad Wala","","Pakistan","",
"Mulgoba","","India, United States","Small mango with a comparatively big seed.  Parent of the Haden mango.",
"Nam Doc Mai","","Thailand, United Arab Emirates","Fruit is elongated, with a prominent beak, and is normally yellow with green spots.",
"Neelam","","India, Pakistan","Fruit weigh 9 to 12 oz, with the general shape of a fat cashew nut. They are smooth-skinned and bright yellow upon ripening and have no blush. The flesh is deep yellow or orange. There is no fibre and a rich, aromatic flavor that is over-powering to the unaccustomed palate. They have a late ripening season and can be stored for an extended time. Fruit should be harvested when mature green and ripened at room temperature off the tree.",
"Osteen","","Italy, Spain, United States","",
"Paige","","","",
"Palmer","","Australia, Brazil, United States","",
"Panakalu","","Andhra Pradesh of India","",
"Panchadharakalasa","","Andhra Pradesh of India","It is a juicy variety and owes its origin to the East Godavari district of Andhra Pradesh . The name is derived from the Telugu words Panchadara , meaning sugar, and kalasa , meaning a pot .",
"Parvin","","United States","",
"Piña Colada","","United States","Piña Colada is part of the selective breeding program by Zills High Performance. Piña Colada is a small fruit that packs a lot of flavor. The tree is unproductive and susceptible to anthracnose.",
"Peddarasamu","","Nuzvid in Andhra Pradesh of India","",
"Philippine","","","See Carabao (mango).",
"Pickering","","","",
"Pico","","Philippines","Along with the Carabao mango, it is one of the most commonly cultivated mango cultivars of the Philippines. Elongated fruits with prominent beak. Light orange when ripe. Flesh rich orange to red. Sweet, fairly acidic, with short fibers.",
"Pim Seng Mun","","","",
"Pineapple Pleasure","","","",
"Po Pyu Kalay","","Myanmar","",
"Pram Kai Mea","","","See Brahm Kai Meu.",
"Raspuri","","Karnataka, India","An extremely popular variety in South India, a fully ripe Raspuri (Rasa in Kannada means Juice) mango harvested at the right time and ripened naturally can beat them all, including the Alphonso, in taste as well as amount of juice per mango. Many people, especially Kannadigas, do not even ask for any other variety except Raspuri in Bengaluru.",
"Red Willard","","Sri Lanka","",
"Rosa","","","",
"Rosigold","","United States","Rosigold is considered one of the earliest season mangos in South Florida. The quality is considered average,[according to whom?] but at a time of year when there are no fresh mangoes, it is in its own class. Rosigold is susceptible to anthracnose.",
"Ruby","","United States","",
"Ryan","","","",
"Saigon","","United States","",
"San Felipe","","Cuba","Fruit is large at 20 ounces with a striking oxblood color; the flesh is yellow.",
"Saharni","","Pakistan","",
"Sammar Bahisht","","Pakistan, India","(in Urdu Sammar means fruit and Bahisht means Paradise)",
"Sensation","","South Africa, United States","",
"Shan-e-Khuda","","Pakistan","",
"Sindhri","","Mirpur Khas district, Sindh province of Pakistan","Sindhi mango cultivated in Sindhri town Mirpur Khas district, Sindh province of Pakistan",
"Sophie Fry","","United States","",
"Southern Blush","","United States","",
"Spirit of 76","","United States","Spirit of 76 is a seedling from Lawrence Zills residence. The mango is fiberless and has a very pleasant sweet flavor.",
"Springfels","","United States","One of the older cultivars from Florida, but still good tasting. It is a large mango, but Due to its size, it has uneven ripening. The uneven ripening is known as jelly seed, where the flesh around the seed is overripe and soft.",
"Sunrise","","","",
"Sunset","","United States","",
"Swarnarekha","","Andhra Pradesh of India","",
"Sweet Tart","","","",
"Tess Pollack","","","",
"Tommy Atkins","","Brazil, Costa Rica, Ecuador, Guatemala, Honduras, Israel, Italy, Mexico, South Africa, United Arab Emirates, United States, Venezuela","One of the most commonly sold mangoes in the world. has extremely long shelf life. Hard and oblong exterior.",
"Torbert","","United States","",
"Totapuri","","India","",
"Turpentine","","United States","Turpentine is a small, high fiber mango that is poly embryonic mango. Turpentine is used as a rootstock in Florida for grafting other mango varieties.",
"Ugly Betty","","","",
"Valencia Pride","","South Africa, United States","Large, oblong mango. Sweet, mild flavor, but the fruit is prone to splitting on the tree. The tree is a vigorous grower.",
"Van Dyke","","Italy, United States","",
"Vellai Kolomban","","Sri Lanka","",
"Young","","United States","Young mango was renamed the Tebow (after the American football player) for marketing purposes.",
"Zill","","South Africa, United States","Zill is a seedling of Haden planted in 1922 by Carl King of Lake Worth, Florida (US). Vigorous tree, fruit is good eating quality.",

"Alampur Baneshan
Alice
Alphonso
Amrapali
Anderson 
Angie
Anwar Ratol
Ataulfo
Baileys Marvel
Banganapalle
Bennet Alphonso
Beverly
Bombay
Brahm Kai Meu
Brooks
Carabao
Carrie
Chaunsa
Chinna rasalu
Chok Anan
Coconut Cream
Cogshall
Cushman
Dasheri
Dot
Duncan
Earlygold
Edward
Eldon
Emerald
Fairchild
Fascell
Fazli
Florigon
Ford
Gary
Gir Kesar
Glenn
Gold Nugget
Golden Lippens
Graham
Haden
Harivanga
Hatcher
Himsagar
Honey Gold
Ice Cream
Irwin
Ivory
Jakarta
Jean Ellen
Julie
Keitt
Kensington Pride
Kent
Lakshmanbhog
Lancetilla
Langra
Lippens
Mahachanok
Mallika
Manilita
Mulgoba
Nam Dok Mai
Osteen
Palmer
Panchadharakalasa
Parvin
Pico
Raspuri
Rosigold
Ruby
Saigon
Sammar Bahisht
Sensation
Shan-e-Khuda
Sindhri
Sophie Fry
Southern Blush
Spirit of 76
Springfels
Sunset
Tommy Atkins
Torbert
Totapuri
Valencia Pride
Van Dyke
Young
Zill","",
"Mangifera altissima (Pahutan)
Mangifera casturi (Kasturi)
Mangifera caesia (Jack mango)
Mangifera foetida (Horse mango)
Mangifera laurina (Mangga kopyor)
Mangifera sylvatica (Himalayan mango)
Mangifera zeylanica (Sri Lankan mango)",
"Aamras
Amchoor
International Mango Festival
List of mango diseases
Mango pickle
Mango sticky rice",
"Category
 Commons",

"Lists of breeds
Lists of cultivars",
"Backcrossing
Crossbreed
Inbreeding
Marker-assisted selection
Mutation breeding
Outcrossing
Preservation breeding
Selective breeding
Smart breeding (Marker-assisted selection)
Hybrid
Purebred",
"Cat
Cattle
Chicken
Dog
breeding
Donkey
Duck
Goat
Goose
Guinea pig
Horse
breeding
Pig
Pigeon
breeding
Rabbit
Sheep
Turkey
Water buffalo
Backyard breeder
Breed standard
Breeding back
Breeding pair
Breeding program
Captive breeding
Designer crossbreed",
"Apple
Japanese
Banana
Basil
Callistemon
Canna
Cannabis
Capsicum
Cherimoya
Citrus
hybrids
Coffee
Cucumber
Gazania
Grape
Grevillea
Hop
Mango
Narcissus (daffodils)
Nemesia
Nepenthes
Olives
Onion
Pear
Rice
Rose
breeders
cultivars
Strawberry
Sweet potato
Sweetcorn
Tomato
Venus flytrap
Heirloom plant
Plant breeding in Nepal
Tree breeding",
"Culling
Marker-assisted selection
Natural selection
balancing
directional
disruptive
negative
selective sweep
stabilizing
Selection methods in plant breeding
Genotype
Phenotype
Dominance
Codominance
Epistasis
Dwarfing
Heterosis
Outbreeding depression
Inbreeding depression
Recessive trait
Sex linkage
F1 hybrid",
"Breed registry
Breeder
Germline
Landrace
Rare breed",
